Log de Monitoramento de Transporte Small Farmer Tracking
======================================================================================================================================================
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 19.12 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:08:22
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 17.05 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:14
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.71 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:14
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.88 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:14
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 18.79 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:14
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.58 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:15
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.45 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:15
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.20 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:15
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 9.19 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:10:15
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 17.09 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:16
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.80 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:16
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.75 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:16
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 10.45 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:16
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 18.81 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:17
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: -0.14 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:10:17
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.16 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:17
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 18.41 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:17
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.15 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:18
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.98 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:18
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.57 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:18
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 12.73 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:18
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 18.31 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:19
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.71 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:19
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.23 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:19
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 11.40 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:19
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 17.46 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:20
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 2.16 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:10:20
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.56 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:20
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 11.56 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:10:20
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 19.47 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:01
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.97 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:01
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.40 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:01
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 15.45 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:01
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 14.50 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:11:06
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.90 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:06
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: -0.17 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:11:06
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 11.33 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:06
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 15.60 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:11
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.79 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:11
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.99 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:11
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 13.96 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:11
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 18.76 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:16
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.77 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:16
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.31 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:16
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 9.32 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:11:16
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.71 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:21
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.83 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:21
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.25 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:11:21
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 20.72 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:11:21
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 18.38 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:12
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.42 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:12
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.70 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:12
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 15.83 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:12
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 19.62 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:15
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.85 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:15
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 2.00 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:15
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 18.17 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:15
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 15.09 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:20
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.86 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:20
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.05 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:20
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 12.75 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:20
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 15.35 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:23
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.38 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:23
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: -0.03 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:22:23
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 15.82 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:23
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 19.99 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:26
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.84 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:26
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.38 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:26
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 10.38 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:26
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 19.68 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:29
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.99 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:29
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 2.01 C, dentro_do_intervalo: False, data_hora: 12/10/2024 - 02:22:29
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 13.30 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:29
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.00 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:40
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.47 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:40
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.99 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:40
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 16.56 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:40
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.87 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:43
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.07 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:43
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.03 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:43
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 18.36 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:43
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.33 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:46
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.14 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:46
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.05 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:46
id_transporte: 50, temp_minima: 10 C, temp_maxima: 20 C, temp_monitorada: 17.69 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:46
id_transporte: 47, temp_minima: 15 C, temp_maxima: 20 C, temp_monitorada: 16.10 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:49
id_transporte: 48, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 1.19 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:49
id_transporte: 49, temp_minima: 0 C, temp_maxima: 2 C, temp_monitorada: 0.60 C, dentro_do_intervalo: True, data_hora: 12/10/2024 - 02:22:49
